,Product_Name,Brand_Name,Product_Category,Product_Weight,Product_MRP,Product_SP,Product_Description,Product_ImgURL
6604,"Britannia Good Day Butter Cookies, 150 g ",Britannia,Cookies,150 g,20.0,20.0,Good Day Butter Cookies,https://www.bigbasket.com/media/uploads/p/mm/263586_8-britannia-good-day-butter-cookies.jpg
19014,"Britannia Good Day Butter Cookies, 600 g ",Britannia,Cookies,600 g,80.0,80.0,Good Day Butter Cookies,https://www.bigbasket.com/media/uploads/p/mm/40197806_2-britannia-good-day-butter-cookies.jpg
20714,"Britannia Good Day Butter Cookies, 600 g ",Britannia,Cookies,600 g,80.0,80.0,Good Day Butter Cookies,https://www.bigbasket.com/media/uploads/p/mm/40197806_2-britannia-good-day-butter-cookies.jpg
